Order,State,Region,12+ Estimate,12-17 Estimate,18+ Estimate,18-25 Estimate,26+ Estimate
6,Alabama,South,4.12%,1.83%,4.35%,3.35%,4.51%
7,Alaska,West,3.39%,2.24%,3.52%,3.59%,3.51%
8,Arizona,West,3.06%,2.24%,3.15%,3.59%,3.08%
9,Arkansas,South,4.30%,1.58%,4.60%,3.70%,4.74%
10,California,West,3.37%,1.72%,3.54%,3.25%,3.59%
11,Colorado,West,2.91%,2.24%,2.98%,3.06%,2.97%
12,Connecticut,North East,2.86%,2.01%,2.94%,2.62%,3.00%
13,Delaware,South,3.22%,2.48%,3.29%,4.13%,3.17%
14,District of Columbia,North East,3.00%,1.35%,3.11%,2.76%,3.17%
15,Florida,South,2.70%,2.26%,2.74%,2.98%,2.71%
16,Georgia,South,3.56%,1.60%,3.78%,2.73%,3.95%
17,Hawaii,West,2.94%,1.87%,3.04%,3.70%,2.96%
18,Idaho,West,2.68%,1.54%,2.81%,3.38%,2.72%
19,Illinois,Midwest,3.03%,2.00%,3.13%,2.78%,3.19%
20,Indiana,Midwest,3.33%,1.96%,3.48%,3.41%,3.49%
21,Iowa,Midwest,2.82%,1.76%,2.94%,2.79%,2.97%
22,Kansas,Midwest,3.26%,1.85%,3.42%,3.44%,3.42%
23,Kentucky,South,3.87%,2.02%,4.06%,3.25%,4.19%
24,Louisiana,South,4.08%,2.37%,4.27%,3.22%,4.43%
25,Maine,North East,3.13%,1.36%,3.28%,2.56%,3.37%
26,Maryland,South,3.63%,2.42%,3.75%,3.14%,3.84%
27,Massachusetts,North East,3.29%,1.78%,3.43%,3.08%,3.48%
28,Michigan,Midwest,2.82%,1.76%,2.93%,2.59%,2.98%
29,Minnesota,Midwest,2.81%,1.90%,2.91%,3.21%,2.87%
30,Mississippi,South,3.65%,1.73%,3.87%,2.91%,4.02%
31,Missouri,Midwest,3.62%,1.85%,3.81%,3.01%,3.93%
32,Montana,West,3.11%,1.34%,3.29%,3.28%,3.29%
33,Nebraska,Midwest,2.43%,1.84%,2.50%,2.50%,2.50%
34,Nevada,West,3.97%,1.83%,4.19%,3.47%,4.29%
35,New Hampshire,North East,3.02%,1.05%,3.19%,2.62%,3.27%
36,New Jersey,North East,3.18%,2.08%,3.30%,3.22%,3.31%
37,New Mexico,West,3.14%,1.77%,3.28%,3.65%,3.23%
38,New York,North East,3.67%,2.43%,3.79%,2.76%,3.94%
39,North Carolina,South,3.76%,2.84%,3.86%,2.99%,3.99%
40,North Dakota,Midwest,3.15%,1.72%,3.30%,2.85%,3.39%
41,Ohio,Midwest,3.71%,1.85%,3.90%,3.06%,4.03%
42,Oklahoma,South,3.47%,2.05%,3.63%,3.63%,3.63%
43,Oregon,West,3.07%,1.76%,3.20%,4.09%,3.07%
44,Pennsylvania,North East,3.25%,2.13%,3.36%,3.16%,3.39%
45,Rhode Island,North East,3.44%,2.00%,3.56%,2.99%,3.66%
46,South Carolina,South,3.09%,2.46%,3.15%,2.97%,3.17%
47,South Dakota,Midwest,3.08%,1.69%,3.24%,2.67%,3.33%
48,Tennessee,South,4.66%,1.92%,4.94%,3.75%,5.12%
49,Texas,South,3.00%,1.28%,3.21%,3.11%,3.23%
50,Utah,West,3.06%,1.48%,3.28%,3.21%,3.30%
51,Vermont,North East,3.21%,1.30%,3.37%,2.82%,3.46%
52,Virginia,South,3.30%,1.57%,3.47%,2.58%,3.61%
53,Washington,West,3.04%,2.30%,3.11%,3.49%,3.06%
54,West Virginia,South,3.72%,2.02%,3.88%,3.34%,3.95%
55,Wisconsin,Midwest,2.96%,1.88%,3.07%,2.50%,3.16%
56,Wyoming,West,2.85%,2.03%,2.94%,3.12%,2.92%
