Order,State,12+ Estimate,12-17 Estimate,18-25 Estimate,26+ Estimate,18+ Estimate
1,Total U.S.,18.74%,10.47%,35.37%,17.20%,19.59%
2,Northeast,20.22%,10.70%,35.15%,19.05%,21.11%
3,Midwest,19.78%,11.20%,36.99%,18.13%,20.68%
4,South,15.57%,9.02%,31.70%,13.92%,16.26%
5,West,21.84%,12.03%,39.93%,20.26%,22.86%
6,Alabama,12.66%,7.57%,29.85%,10.64%,13.18%
7,Alaska,27.01%,18.29%,43.10%,25.81%,27.98%
8,Arizona,21.91%,12.21%,49.20%,18.77%,22.92%
9,Arkansas,15.56%,9.15%,31.24%,13.90%,16.26%
10,California,20.80%,10.16%,38.76%,19.33%,21.90%
11,Colorado,24.70%,17.52%,41.47%,22.99%,25.41%
12,Connecticut,19.92%,10.08%,35.96%,18.54%,20.87%
13,Delaware,19.16%,11.69%,39.65%,17.22%,19.87%
14,District of Columbia,32.03%,12.23%,43.18%,31.65%,33.29%
15,Florida,14.98%,9.38%,31.54%,13.45%,15.48%
16,Georgia,17.18%,8.83%,30.97%,16.06%,18.12%
17,Hawaii,14.86%,9.14%,37.15%,12.68%,15.38%
18,Idaho,15.31%,8.80%,34.99%,13.07%,16.09%
19,Illinois,20.98%,11.96%,37.39%,19.58%,21.92%
20,Indiana,18.65%,9.54%,38.28%,16.53%,19.64%
21,Iowa,19.34%,10.69%,30.86%,18.47%,20.26%
22,Kansas,18.95%,8.63%,34.09%,17.74%,20.13%
23,Kentucky,15.19%,9.35%,34.00%,12.99%,15.80%
24,Louisiana,19.03%,12.24%,41.71%,16.44%,19.76%
25,Maine,24.83%,11.71%,42.24%,23.93%,25.94%
26,Maryland,19.05%,10.41%,39.22%,17.18%,19.93%
27,Massachusetts,25.64%,11.90%,43.25%,24.21%,26.86%
28,Michigan,24.70%,13.74%,43.07%,23.10%,25.78%
29,Minnesota,18.58%,11.89%,39.00%,16.35%,19.29%
30,Mississippi,15.62%,11.22%,35.79%,12.98%,16.12%
31,Missouri,18.58%,10.19%,35.96%,16.94%,19.45%
32,Montana,21.65%,13.57%,41.97%,19.49%,22.44%
33,Nebraska,14.36%,8.69%,27.60%,12.86%,15.01%
34,Nevada,24.79%,15.85%,44.82%,23.14%,25.71%
35,New Hampshire,18.49%,10.63%,33.91%,17.09%,19.18%
36,New Jersey,16.34%,8.13%,37.42%,14.34%,17.16%
37,New Mexico,22.78%,15.18%,41.44%,20.85%,23.60%
38,New York,21.15%,12.23%,31.28%,20.60%,21.96%
39,North Carolina,13.73%,7.95%,27.64%,12.31%,14.32%
40,North Dakota,16.50%,10.66%,27.33%,15.25%,17.12%
41,Ohio,19.59%,10.65%,36.21%,18.13%,20.50%
42,Oklahoma,24.16%,12.63%,41.95%,22.73%,25.46%
43,Oregon,28.76%,16.99%,51.85%,26.79%,29.84%
44,Pennsylvania,17.49%,9.34%,31.60%,16.34%,18.26%
45,Rhode Island,24.17%,14.37%,51.42%,20.70%,25.02%
46,South Carolina,15.64%,9.39%,32.54%,13.92%,16.27%
47,South Dakota,13.67%,8.08%,26.87%,12.29%,14.30%
48,Tennessee,16.58%,11.68%,33.17%,14.70%,17.08%
49,Texas,12.65%,7.07%,27.75%,10.86%,13.32%
50,Utah,13.34%,6.16%,21.85%,12.72%,14.35%
51,Vermont,30.79%,15.66%,47.33%,29.56%,32.03%
52,Virginia,18.03%,9.67%,31.73%,16.91%,18.87%
53,Washington,25.86%,16.68%,39.09%,25.03%,26.76%
54,West Virginia,16.56%,9.81%,33.72%,14.87%,17.18%
55,Wisconsin,16.62%,11.94%,36.16%,14.13%,17.09%
56,Wyoming,17.25%,9.03%,28.77%,16.57%,18.15%
