Order,State,12+ Estimate,12-17 Estimate,18+ Estimate,18-25 Estimate,26+ Estimate
1,Total U.S.,1.99%,1.00%,2.09%,1.31%,2.21%
2,Northeast,1.78%,0.90%,1.86%,1.24%,1.95%
3,Midwest,2.03%,0.98%,2.14%,1.09%,2.30%
4,South,2.22%,0.98%,2.35%,1.40%,2.49%
5,West,1.74%,1.10%,1.80%,1.42%,1.86%
6,Alabama,3.20%,1.14%,3.42%,1.87%,3.65%
7,Alaska,2.10%,0.93%,2.23%,0.94%,2.42%
8,Arizona,2.00%,1.43%,2.06%,1.48%,2.15%
9,Arkansas,2.42%,1.01%,2.58%,1.38%,2.77%
10,California,1.58%,1.17%,1.62%,1.50%,1.64%
11,Colorado,1.53%,0.95%,1.59%,1.10%,1.66%
12,Connecticut,1.60%,0.90%,1.67%,1.10%,1.75%
13,Delaware,1.96%,1.20%,2.03%,1.92%,2.05%
14,District of Columbia,1.68%,0.70%,1.75%,1.28%,1.82%
15,Florida,1.90%,1.00%,1.98%,1.37%,2.06%
16,Georgia,1.90%,1.04%,2.00%,1.39%,2.09%
17,Hawaii,1.12%,0.91%,1.14%,1.60%,1.08%
18,Idaho,1.86%,0.86%,1.98%,1.15%,2.12%
19,Illinois,2.07%,1.14%,2.16%,1.20%,2.31%
20,Indiana,1.90%,0.95%,2.00%,1.26%,2.13%
21,Iowa,1.90%,0.96%,2.00%,0.90%,2.18%
22,Kansas,2.23%,1.05%,2.36%,1.08%,2.58%
23,Kentucky,3.38%,0.94%,3.64%,1.33%,4.00%
24,Louisiana,2.99%,1.10%,3.20%,1.44%,3.46%
25,Maine,2.08%,0.70%,2.20%,0.97%,2.35%
26,Maryland,1.98%,1.20%,2.05%,1.19%,2.18%
27,Massachusetts,1.58%,0.73%,1.66%,1.15%,1.74%
28,Michigan,2.02%,0.85%,2.14%,1.29%,2.27%
29,Minnesota,1.50%,1.02%,1.55%,0.83%,1.66%
30,Mississippi,2.99%,1.05%,3.21%,1.63%,3.46%
31,Missouri,1.98%,0.98%,2.09%,1.11%,2.24%
32,Montana,2.17%,0.81%,2.30%,1.18%,2.47%
33,Nebraska,1.99%,0.89%,2.11%,0.90%,2.32%
34,Nevada,1.97%,1.45%,2.03%,1.58%,2.09%
35,New Hampshire,1.34%,0.73%,1.40%,0.99%,1.46%
36,New Jersey,1.30%,0.98%,1.33%,1.44%,1.32%
37,New Mexico,2.88%,1.19%,3.07%,1.61%,3.29%
38,New York,1.68%,0.91%,1.75%,1.23%,1.83%
39,North Carolina,2.48%,1.03%,2.63%,1.40%,2.81%
40,North Dakota,1.61%,0.91%,1.68%,0.77%,1.85%
41,Ohio,2.33%,0.95%,2.48%,1.07%,2.69%
42,Oklahoma,3.00%,1.05%,3.22%,1.44%,3.51%
43,Oregon,1.90%,1.01%,1.99%,1.06%,2.12%
44,Pennsylvania,2.39%,0.96%,2.53%,1.26%,2.71%
45,Rhode Island,2.10%,0.79%,2.22%,1.28%,2.37%
46,South Carolina,2.15%,1.04%,2.26%,1.20%,2.42%
47,South Dakota,1.98%,0.83%,2.11%,0.80%,2.32%
48,Tennessee,2.40%,0.87%,2.55%,1.29%,2.74%
49,Texas,1.91%,0.88%,2.03%,1.49%,2.12%
50,Utah,1.57%,0.43%,1.73%,1.26%,1.82%
51,Vermont,2.07%,0.74%,2.18%,0.86%,2.39%
52,Virginia,1.76%,0.87%,1.84%,1.07%,1.96%
53,Washington,2.03%,0.99%,2.13%,1.48%,2.22%
54,West Virginia,3.23%,0.73%,3.46%,1.23%,3.78%
55,Wisconsin,2.09%,0.98%,2.20%,0.91%,2.40%
56,Wyoming,1.56%,0.94%,1.63%,0.92%,1.73%
