Order,State.x,Region,18+ Estimate,18-25 Estimate,26+ Estimate
6,Alabama,South,6.32%,12.09%,5.44%
7,Alaska,West,6.38%,14.56%,5.21%
8,Arizona,West,5.63%,11.17%,4.75%
9,Arkansas,South,6.50%,12.44%,5.57%
10,California,West,6.10%,12.05%,5.19%
11,Colorado,West,6.01%,10.87%,5.27%
12,Connecticut,North East,4.31%,9.97%,3.43%
13,Delaware,South,4.30%,12.69%,3.17%
14,District of Columbia,North East,4.83%,10.54%,3.88%
15,Florida,South,5.24%,12.31%,4.34%
16,Georgia,South,5.27%,10.58%,4.42%
17,Hawaii,West,5.08%,10.35%,4.43%
18,Idaho,West,6.88%,13.49%,5.82%
19,Illinois,Midwest,4.27%,9.34%,3.51%
20,Indiana,Midwest,6.02%,13.73%,4.73%
21,Iowa,Midwest,6.46%,11.98%,5.53%
22,Kansas,Midwest,6.53%,11.57%,5.67%
23,Kentucky,South,6.76%,12.19%,5.92%
24,Louisiana,South,5.85%,10.14%,5.20%
25,Maine,North East,5.31%,11.89%,4.50%
26,Maryland,South,4.39%,11.57%,3.36%
27,Massachusetts,North East,4.80%,11.61%,3.70%
28,Michigan,Midwest,5.41%,12.90%,4.25%
29,Minnesota,Midwest,5.49%,11.77%,4.55%
30,Mississippi,South,5.92%,10.60%,5.17%
31,Missouri,Midwest,6.06%,12.18%,5.12%
32,Montana,West,7.04%,13.35%,6.08%
33,Nebraska,Midwest,7.64%,10.36%,7.18%
34,Nevada,West,7.22%,11.33%,6.66%
35,New Hampshire,North East,5.17%,11.21%,4.32%
36,New Jersey,North East,4.06%,11.20%,3.07%
37,New Mexico,West,5.76%,12.77%,4.68%
38,New York,North East,4.23%,8.27%,3.63%
39,North Carolina,South,5.25%,12.09%,4.22%
40,North Dakota,Midwest,7.06%,14.05%,5.77%
41,Ohio,Midwest,5.87%,11.42%,5.04%
42,Oklahoma,South,6.50%,12.85%,5.45%
43,Oregon,West,6.47%,11.61%,5.75%
44,Pennsylvania,North East,5.27%,11.73%,4.34%
45,Rhode Island,North East,5.99%,10.35%,5.28%
46,South Carolina,South,5.43%,9.61%,4.82%
47,South Dakota,Midwest,6.74%,13.86%,5.60%
48,Tennessee,South,6.49%,12.26%,5.63%
49,Texas,South,5.68%,10.75%,4.81%
50,Utah,West,7.15%,11.33%,6.24%
51,Vermont,North East,6.45%,13.45%,5.32%
52,Virginia,South,5.06%,11.41%,4.09%
53,Washington,West,5.57%,14.10%,4.38%
54,West Virginia,South,6.42%,13.94%,5.37%
55,Wisconsin,Midwest,6.00%,10.27%,5.33%
56,Wyoming,West,6.73%,13.08%,5.79%
