Order,State,18+ Estimate,12-17 Estimate,18-25 Estimate,26+ Estimate
1,Total U.S.,8.29%,20.10%,18.61%,6.72%
2,Northeast,7.51%,19.92%,17.28%,6.07%
3,Midwest,8.53%,21.25%,18.51%,6.98%
4,South,8.18%,18.94%,18.07%,6.68%
5,West,8.83%,21.09%,20.51%,7.05%
6,Alabama,8.67%,18.86%,15.91%,7.57%
7,Alaska,11.02%,23.69%,25.01%,9.01%
8,Arizona,8.21%,21.86%,18.80%,6.54%
9,Arkansas,8.53%,17.94%,17.21%,7.17%
10,California,8.34%,19.72%,20.52%,6.48%
11,Colorado,9.78%,23.40%,20.60%,8.15%
12,Connecticut,7.69%,20.42%,18.93%,5.95%
13,Delaware,7.93%,20.46%,21.78%,6.08%
14,District of Columbia,9.62%,16.53%,15.52%,8.64%
15,Florida,7.54%,22.22%,19.88%,5.98%
16,Georgia,8.47%,17.33%,17.17%,7.08%
17,Hawaii,6.84%,19.15%,15.87%,5.72%
18,Idaho,10.50%,20.72%,22.71%,8.54%
19,Illinois,7.13%,23.14%,14.21%,6.06%
20,Indiana,9.35%,22.01%,21.26%,7.36%
21,Iowa,9.33%,23.65%,19.08%,7.67%
22,Kansas,9.25%,21.65%,19.22%,7.54%
23,Kentucky,9.01%,19.19%,21.25%,7.12%
24,Louisiana,8.11%,17.40%,14.86%,7.09%
25,Maine,8.78%,20.13%,20.16%,7.38%
26,Maryland,7.89%,19.57%,20.06%,6.16%
27,Massachusetts,8.00%,19.66%,18.30%,6.34%
28,Michigan,7.84%,17.73%,19.38%,6.05%
29,Minnesota,8.43%,20.43%,18.52%,6.93%
30,Mississippi,7.20%,16.52%,15.19%,5.93%
31,Missouri,9.36%,22.41%,19.52%,7.81%
32,Montana,10.61%,23.16%,20.39%,9.14%
33,Nebraska,9.45%,21.06%,19.39%,7.76%
34,Nevada,9.55%,24.24%,18.97%,8.28%
35,New Hampshire,8.38%,20.24%,19.76%,6.78%
36,New Jersey,6.62%,19.03%,17.83%,5.05%
37,New Mexico,9.69%,25.83%,20.21%,8.07%
38,New York,6.53%,20.33%,13.55%,5.51%
39,North Carolina,8.33%,17.72%,18.30%,6.82%
40,North Dakota,10.00%,21.10%,21.21%,7.93%
41,Ohio,8.97%,21.73%,19.37%,7.41%
42,Oklahoma,9.46%,19.68%,19.56%,7.79%
43,Oregon,10.06%,25.07%,21.94%,8.42%
44,Pennsylvania,8.84%,19.81%,20.82%,7.12%
45,Rhode Island,8.73%,20.84%,18.29%,7.17%
46,South Carolina,7.63%,16.68%,15.43%,6.50%
47,South Dakota,8.68%,20.29%,18.81%,7.07%
48,Tennessee,8.80%,18.43%,19.66%,7.19%
49,Texas,8.22%,18.41%,17.24%,6.69%
50,Utah,9.94%,18.66%,21.18%,7.47%
51,Vermont,9.74%,20.51%,19.49%,8.16%
52,Virginia,7.91%,20.27%,18.37%,6.32%
53,Washington,8.96%,22.15%,21.40%,7.22%
54,West Virginia,8.99%,19.04%,19.10%,7.58%
55,Wisconsin,8.91%,19.30%,18.49%,7.42%
56,Wyoming,10.03%,23.29%,21.43%,8.33%
